gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation
b1499,0.24089470899999993,5.946426547,5.705531838,0.00012612843074598696,3.899187007603104,up
b2573,0.6698546595000003,1.286447967500001,0.6165933080000006,0.00015214797524503733,3.8177338227718574,ns
b2085,1.6243804929999999,7.53622813,5.911847636999999,0.00017234670963232565,3.763597003536365,up
b4033,-0.8260534744999997,-1.9952640984999999,-1.1692106240000002,0.0002736448335774347,3.562812746936759,down
b2254,0.0940082644999997,1.6864564309999999,1.5924481665,0.00027493932871168117,3.5607631320343667,up
b2373,0.30968490949999994,5.947299306,5.6376143965,0.0003177337772335667,3.4979366142996904,up
b3728,0.20102654349999977,0.48053085450000044,0.27950431100000067,0.000429260820399616,3.3672787487456883,ns
b2824,0.255081372,-0.1895554539999999,-0.4446368259999999,0.0004298084049454914,3.366725096090371,ns
b0753,0.30198269749999973,1.1428748245000002,0.8408921270000005,0.000459951947980813,3.3372875374854614,ns
b2284,0.8213529140000002,1.0833986940000004,0.26204578000000023,0.0005521350517818058,3.2579546812021793,ns
b2881,0.0988097209999996,0.3056349119999999,0.20682519100000032,0.0005566255564513259,3.254436857701961,ns
b1227,-1.083208371,0.7293488655,1.8125572365,0.0005927346295997817,3.227139699039438,up
b0557,0.0787535414999993,-0.5560467480000009,-0.6348002895000002,0.0005951928932494276,3.2253422630149062,ns
b3517,0.38981958899999913,1.7682806324999998,1.3784610435000006,0.0006375677538327148,3.1954736563024335,up
b2988,-0.2559209570000007,0.14024630199999905,0.39616725899999977,0.0006484302696543378,3.1881367198614505,ns
b1662,0.6185237640000008,0.8106618875000002,0.19213812349999948,0.000652694978775261,3.185289728346745,ns
b2267,0.01852440350000025,0.20493783899999934,0.1864134354999991,0.0006862065307873947,3.16354515297843,ns
b3088,-0.2126337220000003,-0.9456911245000001,-0.7330574024999998,0.0008103069335131897,3.0913504449709124,ns
b1492,0.5214090364999984,1.8998825444999996,1.3784735080000012,0.0008572226037498045,3.0669063857468872,up
b2572,-0.20738685699999854,0.4766008355000011,0.6839876924999997,0.0009469363654329595,3.023679204808642,ns
b0181,-0.16958053250000035,-0.292799532000001,-0.12321899950000062,0.0009476315036401686,3.023360509758413,ns
b0124,0.10125173750000015,1.1532209985000001,1.051969261,0.0009894185348408764,3.004619958229248,up
b3365,0.3929355815000002,2.1939045774999997,1.8009689959999995,0.0011653253139063055,2.933552819434262,up
b1798,-0.08005985150000014,0.8037993394999994,0.8838591909999995,0.0011689774644723224,2.9321938610790954,ns
b4254,0.1365079975000007,-0.9482270969999997,-1.0847350945000005,0.0012085991365565396,2.9177177203547013,down
b0287,-0.13748366549999955,2.171009757,2.3084934225,0.0014416442202923507,2.8411419048233806,up
b2579,1.685890945999999,3.559202932,1.873311986000001,0.0015572697965770272,2.8076361395101608,up
b1609,-0.5857484709999992,0.1408897335000007,0.7266382044999998,0.0016602885543183924,2.779816426021616,ns
b0925,-0.08727696699999925,0.30584871150000076,0.3931256785,0.0016719941275379231,2.7767652522453004,ns
b1000,0.1474073334999999,0.9039639680000002,0.7565566345000003,0.0017023642776875943,2.7689475024994312,ns
b4113,-0.3354787719999996,0.4096552165000005,0.7451339885000001,0.0017576476039834464,2.7550681935321544,ns
b2255,-0.0957908745000002,1.2726841960000002,1.3684750705000004,0.001858262347041535,2.730892972888424,up
b0978,0.11387576350000025,1.929978947,1.8161031834999997,0.001967380757286103,2.706111580708164,up
b0618,0.0,0.12161749150000001,0.12161749150000001,0.0020247103707152323,2.693637092645017,ns
b3858,0.9813411839999996,1.61250814,0.6311669560000005,0.002127623967411284,2.672105126052229,ns
b2970,0.0358723884999998,-0.9040912155,-0.9399636039999999,0.002161735519665543,2.6651974414539534,ns
b1225,0.5221031299999996,2.4908925225000003,1.9687893925000006,0.0022009979070976692,2.657380370411834,up
b1054,0.059007894499999144,-0.1931370575000013,-0.2521449520000004,0.00236434853549654,2.6262885024584564,ns
b2571,-0.03168805699999925,0.3284617980000006,0.36014985499999985,0.002422329179879839,2.6157668391900106,ns
b1190,-0.14243240800000076,0.9183845874999994,1.0608169955000002,0.0024560104807478896,2.609769784224167,up
b4153,0.2682776185,1.116288901,0.8480112824999999,0.0025999026132429532,2.585042919461227,ns
b2565,-0.09839188399999971,0.04152686900000055,0.13991875300000026,0.002724058837399692,2.5647835162592325,ns
b4123,0.665655385,2.188758139,1.523102754,0.002883156326031565,2.540131809331425,up
b2210,-0.010592913999999148,1.5397665324999998,1.550359446499999,0.002964646562303564,2.5280270747080156,up
b2149,0.2461945764999997,-0.4148896775000001,-0.6610842539999998,0.0030025298413095054,2.522512667571468,ns
b0862,-0.07443148949999884,0.1741970415000011,0.24862853099999993,0.0030109426724553505,2.5212975132595146,ns
b1598,-0.1221565394999997,0.5379980290000002,0.6601545684999999,0.003043233570680146,2.5166647139038507,ns
b2508,0.8905552285000011,0.9546870600000004,0.06413183149999924,0.0031182189697501342,2.506093390745922,ns
b1256,2.4584794710000004,3.8475412625,1.3890617914999996,0.003165568356673837,2.499548303969798,up
b1536,-0.026362129999999852,0.8038947420000002,0.8302568720000001,0.0033644087736474423,2.4730912431493293,ns
b2627,-0.0388449684999998,0.15547113499999995,0.19431610349999975,0.0035358918698625333,2.451501024496086,ns
b2382,-0.33607571449999996,0.1736679580000002,0.5097436725000002,0.0035614245323917905,2.4483762540466514,ns
b1235,-0.0341083945,0.23975250600000025,0.2738609005000002,0.003571940539725655,2.4470957792022965,ns
b2972,-0.11176851650000016,-0.5564312464999999,-0.4446627299999997,0.0036246127515766878,2.440738386013566,ns
b1478,0.0871411264999992,0.5540515005000004,0.46691037400000124,0.003650807421007253,2.4376110753492943,ns
b2375,0.9452343565000001,7.210909144,6.2656747875,0.003660969161515789,2.436403929419461,up
b3543,1.0719612565000003,1.4893560734999998,0.4173948169999995,0.003745637434772006,2.4264742631856633,ns
b4122,-0.2061461129999997,0.8780383535000003,1.0841844665,0.003843674018349332,2.4152534519179754,up
b2008,-0.44341876099999933,0.0052826390000003005,0.44870139999999964,0.003852527876951815,2.4142542100365274,ns
b0979,0.25371688850000007,1.9740425455000001,1.720325657,0.003921826090905138,2.4065116685557473,up
b2584,-0.2849721335000006,0.08806957999999995,0.3730417135000006,0.003960899272641753,2.4022062017492263,ns
b3600,-0.0205036710000001,0.28808041650000016,0.30858408750000027,0.003982614472783861,2.399831732367039,ns
b2498,0.09184016549999979,-0.48704780549999865,-0.5788879709999984,0.004006093721857763,2.3972788946806007,ns
b3210,-0.10424034749999975,0.36594365600000067,0.47018400350000045,0.004043826076631735,2.3932075315141303,ns
b3838,-0.30451393050000064,-0.4831715490000006,-0.17865761849999995,0.004134636026003016,2.3835627155807972,ns
b0361,0.4803630245,0.5426184175000001,0.06225539300000005,0.004184165259684063,2.378391170710693,ns
b3731,-0.3991276399999988,-0.6952761549999984,-0.2961485149999996,0.004372444894590532,2.359275655177144,ns
b1330,0.5294779904999998,0.8806724084999997,0.35119441799999995,0.00437527958630014,2.3589941897484694,ns
b2313,0.3746891914999999,0.1374157079999998,-0.2372734835000001,0.00437785912804043,2.3587382173909783,ns
b1951,0.7503990319999998,1.1069577704999998,0.35655873849999997,0.004390216377244603,2.3575140744896435,ns
b3514,0.30722464400000016,1.938731814,1.63150717,0.004617144455831608,2.3356265375369842,up
b1661,0.2472791609999998,1.1913026479999997,0.9440234869999999,0.0046283158735567105,2.334577008955088,ns
b2522,-0.5764179724999994,-0.8389875454999998,-0.2625695730000004,0.004704191474308825,2.327515009520486,ns
b3588,0.8666940555,1.2779152705000003,0.4112212150000003,0.0047452911704881345,2.323737134162586,ns
b1300,-0.40684780350000027,-1.9159260600000003,-1.5090782565,0.004773810778121328,2.321134799331444,down
b0980,0.3168630754999997,1.6767392079999999,1.3598761325000002,0.004780047864404842,2.320567754613231,up
b3409,0.23581668000000008,1.2151982760000002,0.9793815960000001,0.004849766905558351,2.3142791344003095,ns
