direction,b_number,gene_name,gene_product,log2FC,p_value,neg_log10_p,control_mean,treatment_mean,regulation
up,b1597,asr,acid shock protein,6.4783709225,0.005760896746416687,2.239509908641435,-1.3413654325000004,5.13700549,up
up,b2375,yfdX,protein YfdX,6.2656747875,0.003660969161515789,2.436403929419461,0.9452343565000001,7.210909144,up
up,b2374,frc,formyl-CoA transferase,6.084745149500001,0.010688763344815399,1.9710725383450354,0.5162630500000001,6.601008199500001,up
up,b2085,yegR,uncharacterized protein YegR,5.911847636999999,0.00017234670963232565,3.763597003536365,1.6243804929999999,7.53622813,up
up,b1499,ydeO,DNA-binding transcriptional dual regulator YdeO,5.705531838,0.00012612843074598696,3.899187007603104,0.24089470899999993,5.946426547,up
down,b4035,malK,maltose ABC transporter ATP binding subunit,-1.795657169,0.04277945640816308,1.3687647382412342,-0.9965481975000001,-2.7922053665,down
down,b4036,lamB,maltose outer membrane channel/phage lambda receptor protein,-1.6480184974999994,0.025345103541824995,1.5961059302227303,-0.42166500050000083,-2.0696834980000003,down
down,b4034,malE,maltose ABC transporter periplasmic binding protein,-1.6088032755000001,0.03927500737627669,1.4058837247227194,-0.5638833115000006,-2.1726865870000007,down
down,b4037,malM,maltose regulon periplasmic protein,-1.5419062360000004,0.0056177527025307785,2.2504373826656168,-0.6343366265000001,-2.1762428625000005,down
down,b1113,ldtC,L%2CD-transpeptidase YcfS,-1.5286463525,0.028061728317485247,1.5518855843542834,-0.3451875805000002,-1.8738339330000002,down
