gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation,direction
b1597,-1.3413654325000004,5.13700549,6.4783709225,0.005760896746416687,2.239509908641435,up,up
b2375,0.9452343565000001,7.210909144,6.2656747875,0.003660969161515789,2.436403929419461,up,up
b2374,0.5162630500000001,6.601008199500001,6.084745149500001,0.010688763344815399,1.9710725383450354,up,up
b2085,1.6243804929999999,7.53622813,5.911847636999999,0.00017234670963232565,3.763597003536365,up,up
b1499,0.24089470899999993,5.946426547,5.705531838,0.00012612843074598696,3.899187007603104,up,up
b4035,-0.9965481975000001,-2.7922053665,-1.795657169,0.04277945640816308,1.3687647382412342,down,down
b1599,-0.36138316049999974,-2.1191970885,-1.7578139280000002,0.05647282959308657,1.2481604512240498,ns,down
b4036,-0.42166500050000083,-2.0696834980000003,-1.6480184974999994,0.025345103541824995,1.5961059302227303,down,down
b4034,-0.5638833115000006,-2.1726865870000007,-1.6088032755000001,0.03927500737627669,1.4058837247227194,down,down
b4037,-0.6343366265000001,-2.1762428625000005,-1.5419062360000004,0.0056177527025307785,2.2504373826656168,down,down
